hostname,sy_pnum,pl_name,discoverymethod,pl_controv_flag,st_mass,pl_orbper,pl_orbeccen,pl_msinie,st_masserr1,pl_orbpererr1,pl_orbeccenerr1,pl_msinieerr1,st_masserr2,pl_orbpererr2,pl_orbeccenerr2,pl_msinieerr2
Kepler-150,5,Kepler-150 d,Transit,0,0.956,12.56093,0.0,,0.018,3.6e-05,,,-0.021,-3.6e-05,,
Kepler-221,4,Kepler-221 d,Transit,0,0.854,10.04156,0.0,,0.012,1.1e-05,,,-0.016,-1.1e-05,,
Kepler-311,3,Kepler-311 c,Transit,0,0.994,19.738286,0.0,,0.033,0.000205,,,-0.029,-0.000205,,
Kepler-150,5,Kepler-150 e,Transit,0,0.956,30.826557,0.0,,0.018,0.000199,,,-0.021,-0.000199,,
Kepler-272,3,Kepler-272 c,Transit,0,0.91,6.057342,0.0,,0.014,3.7e-05,,,-0.011,-3.7e-05,,
HD 3167,4,HD 3167 b,Transit,0,0.837,0.959641,0.0,,0.053,1.1e-05,,,-0.043,-1.1e-05,,
GJ 876,4,GJ 876 b,Radial Velocity,0,0.32,61.1166,0.0324,760.9,0.03,0.0086,0.0013,1.0,-0.03,-0.0086,-0.0013,-1.0
HIP 14810,3,HIP 14810 c,Radial Velocity,0,1.01,147.747,0.1566,416.3573,0.19,0.029,0.0099,57.2094,-0.19,-0.029,-0.0099,-57.2094
HIP 14810,3,HIP 14810 b,Radial Velocity,0,1.01,6.673892,0.14399,1239.537,0.19,8e-06,0.00087,155.7367,-0.19,-8e-06,-0.00087,-155.7367
GJ 876,4,GJ 876 d,Radial Velocity,0,0.32,1.93778,0.207,6.91,0.03,2e-05,0.055,0.22,-0.03,-2e-05,-0.055,-0.27
GJ 876,4,GJ 876 e,Radial Velocity,0,0.32,124.26,0.055,15.43,0.03,0.7,0.012,1.29,-0.03,-0.7,-0.012,-1.27
HD 3167,4,HD 3167 c,Transit,0,0.837,29.8454,0.06,,0.053,0.0012,,,-0.043,-0.0012,,
PSR B1257+12,3,PSR B1257+12 b,Pulsar Timing,0,1.4,25.262,0.0,0.015,,0.003,,,,-0.003,,
PSR B1257+12,3,PSR B1257+12 d,Pulsar Timing,0,1.4,98.2114,0.0264,2.8,,0.0002,0.0009,,,-0.0002,-0.0009,
Kepler-18,3,Kepler-18 c,Transit,0,0.972,7.64159,0.0,19.74151127,0.042,3e-05,,4.911544501,-0.042,-3e-05,,-4.911544501
Kepler-18,3,Kepler-18 b,Transit,0,0.972,3.504725,0.0,12.75110304,0.042,2.8e-05,,3.906266927,-0.042,-2.8e-05,,-3.906266927
HD 136352,3,HD 136352 d,Radial Velocity,0,0.87,107.245,0.0,10.5,0.04,0.05,,1.1,-0.04,-0.05,,-1.0
Kepler-18,3,Kepler-18 d,Transit,0,0.972,14.85888,0.0,24.07517665,0.042,4e-05,,6.379405478,-0.042,-4e-05,,-6.379405478
HD 108236,5,HD 108236 f,Transit,0,0.869,29.54115,0.051,,0.05,0.00033,0.036,,-0.048,-0.00042,-0.034,
Kepler-58,4,Kepler-58 c,Transit,0,0.95,15.5741568,0.0,,,0.00027,,,,-0.00027,,
Kepler-62,5,Kepler-62 c,Transit,0,0.69,12.4417,0.0,,0.02,0.0001,,,-0.02,-0.0001,,
Kepler-62,5,Kepler-62 b,Transit,0,0.69,5.714932,0.0,,0.02,9e-06,,,-0.02,-9e-06,,
GJ 667 C,5,GJ 667 C b,Radial Velocity,0,0.33,7.203,0.2,5.68,0.02,0.0019,0.1,0.23,-0.02,-0.0019,-0.1,-0.23
Kepler-53,3,Kepler-53 b,Transit,0,0.98,18.6489525,0.0,,,0.00016,,,,-0.00016,,
Kepler-37,4,Kepler-37 e,Transit Timing Variations,0,0.8,51.196,0.0,8.1,,,,1.7,,,,-1.7
