hostname,pl_name,pl_msinie,prior_95,posterior_95,change%
HD 215152,HD 215152 b,1.82,5.85,3.75,-35.8
HD 215152,c,1.72,5.69,3.67,-35.5
HD 215152,d,2.80,9.00,5.11,-43.3
HD 215152,e,2.88,9.72,6.55,-32.7
Barnard's star,Barnard d,0.26,0.81,0.45,-44.6
Barnard's star,b,0.30,0.92,0.51,-44.5
Barnard's star,c,0.34,1.03,0.57,-44.6
Barnard's star,e,0.19,0.60,0.34,-42.9
HD 184010,HD 184010 b,98.53,303.87,191.77,-36.9
HD 184010,c,95.35,295.49,189.58,-35.8
HD 184010,d,143.02,440.96,279.62,-36.6
HD 28471,HD 28471 b,3.72,11.47,8.59,-25.1
HD 28471,c,5.72,17.64,13.35,-24.3
HD 28471,d,4.91,15.25,11.65,-23.6
YZ Cet,YZ Cet b,0.70,2.16,1.41,-34.6
YZ Cet,c,1.14,3.51,2.28,-35.0
YZ Cet,d,1.09,3.36,2.16,-35.8
